Generating SQLite file profiling/block/block_4096_family.sqlite from profiling/block/block_4096_family.nsys-rep
Processing [profiling/block/block_4096_family.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)  Min (ns)  Max (ns)   StdDev (ns)                Name               
 --------  ---------------  ---------  ---------  --------  --------  ---------  -----------  ---------------------------------
     38.6        315149340         39  8080752.3    3316.0       910  312426321   50017007.0  cudaMalloc                       
     13.7        111536356         40  2788408.9    2150.5       895  107674511   17010746.1  cudaFree                         
     11.9         96912533       1823    53161.0   31496.0      1844   10640331     324424.4  cudaDeviceSynchronize            
     10.9         89215993       7542    11829.2    5567.5      2701   23579132     278075.0  cudaLaunchKernel                 
      9.1         74213961       1821    40754.5   29899.0       928    5320676     128839.9  cudaStreamSynchronize            
      7.2         58621199       2602    22529.3    9702.5      4468    1389997      45103.5  cudaMemcpy                       
      6.0         48748561       4416    11039.1    4738.0      2261   11788101     191414.9  cudaMemcpyAsync                  
      2.1         17442645       1839     9484.9    2102.0      1779    2207287     119857.1  cudaEventRecord                  
      0.1           914167       1860      491.5     405.5       351       5540        371.6  cudaStreamWaitEvent              
      0.1           737313          4   184328.3    3993.5       832     728494     362783.8  cudaStreamCreate                 
      0.1           718099          3   239366.3    2318.0       321     715460     412310.4  cudaEventDestroy                 
      0.1           660423          6   110070.5   25955.5     23843     532854     207124.1  cudaMemset                       
      0.1           494776        419     1180.8     150.0        85     417260      20376.0  cuGetProcAddress_v2              
      0.0           202221          1   202221.0  202221.0    202221     202221          0.0  cudaLaunchCooperativeKernel      
      0.0           128836          4    32209.0   27297.5      7088      67153      28158.5  cudaMemsetAsync                  
      0.0            14311          4     3577.8    3103.0       865       7240       3217.2  cudaStreamDestroy                
      0.0             5080          2     2540.0    2540.0      2088       2992        639.2  cudaGetDeviceProperties_v2_v12000
      0.0             4142          3     1380.7     323.0       278       3541       1871.0  cudaEventCreateWithFlags         
      0.0             3393          1     3393.0    3393.0      3393       3393          0.0  cuInit                           
      0.0             1697          2      848.5     848.5       147       1550        992.1  cuModuleGetLoadingMode           

Processing [profiling/block/block_4096_family.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)    Min (ns)  Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  ----------  -----------  --------  ---------  -----------  ----------------------
     85.1       1570913901         21  74805423.9  102913490.0      1033  103070083   41484306.5  poll                  
     10.6        194914521      13718     14208.7       2370.0      1000   11376061     198830.5  ioctl                 
      3.9         71274408          4  17818602.0   16773750.5    544808   37182099   19503346.3  fread                 
      0.2          4291441         30    143048.0       5081.0      1176    1790330     425682.7  fopen                 
      0.1          1048605          5    209721.0     121300.0     50792     492514     182229.3  sem_timedwait         
      0.0           785261          1    785261.0     785261.0    785261     785261          0.0  pthread_join          
      0.0           583273          9     64808.1       2522.0      1029     531853     175340.2  fclose                
      0.0           492196          4    123049.0     125155.5     90901     150984      26978.3  pthread_create        
      0.0           413691         22     18804.1      13229.0      4315      90902      19009.6  mmap                  
      0.0            82176          4     20544.0      16228.5      2611      47108      19677.2  pipe2                 
      0.0            76606          4     19151.5      18274.0     17758      22300       2137.5  write                 
      0.0            31114          3     10371.3       9370.0      5657      16087       5286.6  open                  
      0.0            24514          1     24514.0      24514.0     24514      24514          0.0  fgets                 
      0.0            10296          5      2059.2       2025.0      1084       2966        703.6  read                  
      0.0             9292          4      2323.0       1967.0      1395       3963       1143.0  fwrite                
      0.0             5722          4      1430.5       1344.5      1317       1716        190.8  pthread_cond_broadcast
      0.0             3519          2      1759.5       1759.5      1074       2445        969.4  fcntl                 
      0.0             3454          3      1151.3       1167.0      1108       1179         38.0  fflush                

